RegionID,SizeRank,RegionName,StateName,RegionName,,Zillow Link
394299,249,"Abilene,TX",TX,Abilene,TX,https://www.zillow.com/Abilene-TX
394300,708,"Ada,OK",OK,Ada,OK,https://www.zillow.com/Ada-OK
394304,83,"Akron,OH",OH,Akron,OH,https://www.zillow.com/Akron-OH
394306,296,"Albany,GA",GA,Albany,GA,https://www.zillow.com/Albany-GA
394308,63,"Albany,NY",NY,Albany,NY,https://www.zillow.com/Albany-NY
394307,320,"Albany,OR",OR,Albany,OR,https://www.zillow.com/Albany-OR
394309,510,"Albemarle,NC",NC,Albemarle,NC,https://www.zillow.com/Albemarle-NC
394314,285,"Alexandria,LA",LA,Alexandria,LA,https://www.zillow.com/Alexandria-LA
394318,70,"Allentown,PA",PA,Allentown,PA,https://www.zillow.com/Allentown-PA
394321,343,"Altoona,PA",PA,Altoona,PA,https://www.zillow.com/Altoona-PA
394323,185,"Amarillo,TX",TX,Amarillo,TX,https://www.zillow.com/Amarillo-TX
394325,331,"Ames,IA",IA,Ames,IA,https://www.zillow.com/Ames-IA
394327,135,"Anchorage,AK",AK,Anchorage,AK,https://www.zillow.com/Anchorage-AK
394332,149,"AnnArbor,MI",MI,AnnArbor,MI,https://www.zillow.com/AnnArbor-MI
394333,355,"Anniston,AL",AL,Anniston,AL,https://www.zillow.com/Anniston-AL
394334,195,"Appleton,WI",WI,Appleton,WI,https://www.zillow.com/Appleton-WI
394338,120,"Asheville,NC",NC,Asheville,NC,https://www.zillow.com/Asheville-NC
394339,576,"Ashland,OH",OH,Ashland,OH,https://www.zillow.com/Ashland-OH
394341,685,"Astoria,OR",OR,Astoria,OR,https://www.zillow.com/Astoria-OR
394346,213,"Athens,GA",GA,Athens,GA,https://www.zillow.com/Athens-GA
394345,427,"Athens,TX",TX,Athens,TX,https://www.zillow.com/Athens-TX
394347,9,"Atlanta,GA",GA,Atlanta,GA,https://www.zillow.com/Atlanta-GA
394348,188,"AtlanticCity,NJ",NJ,AtlanticCity,NJ,https://www.zillow.com/AtlanticCity-NJ
394351,264,"Auburn,AL",AL,Auburn,AL,https://www.zillow.com/Auburn-AL
394350,457,"Auburn,NY",NY,Auburn,NY,https://www.zillow.com/Auburn-NY
394352,95,"Augusta,GA",GA,Augusta,GA,https://www.zillow.com/Augusta-GA
394353,337,"Augusta,ME",ME,Augusta,ME,https://www.zillow.com/Augusta-ME
394354,690,"Austin,MN",MN,Austin,MN,https://www.zillow.com/Austin-MN
394355,29,"Austin,TX",TX,Austin,TX,https://www.zillow.com/Austin-TX
394357,62,"Bakersfield,CA",CA,Bakersfield,CA,https://www.zillow.com/Bakersfield-CA
394358,21,"Baltimore,MD",MD,Baltimore,MD,https://www.zillow.com/Baltimore-MD
394359,283,"Bangor,ME",ME,Bangor,ME,https://www.zillow.com/Bangor-ME
394360,504,"Baraboo,WI",WI,Baraboo,WI,https://www.zillow.com/Baraboo-WI
394361,214,"BarnstableTown,MA",MA,BarnstableTown,MA,https://www.zillow.com/BarnstableTown-MA
394363,582,"Bartlesville,OK",OK,Bartlesville,OK,https://www.zillow.com/Bartlesville-OK
394367,66,"BatonRouge,LA",LA,BatonRouge,LA,https://www.zillow.com/BatonRouge-LA
394368,319,"BattleCreek,MI",MI,BattleCreek,MI,https://www.zillow.com/BattleCreek-MI
394369,379,"BayCity,MI",MI,BayCity,MI,https://www.zillow.com/BayCity-MI
394370,732,"BayCity,TX",TX,BayCity,TX,https://www.zillow.com/BayCity-TX
394373,414,"BeaverDam,WI",WI,BeaverDam,WI,https://www.zillow.com/BeaverDam-WI
394379,619,"Bemidji,MN",MN,Bemidji,MN,https://www.zillow.com/Bemidji-MN
394380,227,"Bend,OR",OR,Bend,OR,https://www.zillow.com/Bend-OR
394385,736,"BigSpring,TX",TX,BigSpring,TX,https://www.zillow.com/BigSpring-TX
394387,196,"Binghamton,NY",NY,Binghamton,NY,https://www.zillow.com/Binghamton-NY
394388,50,"Birmingham,AL",AL,Birmingham,AL,https://www.zillow.com/Birmingham-AL
394390,324,"Bismarck,ND",ND,Bismarck,ND,https://www.zillow.com/Bismarck-ND
394391,620,"Blackfoot,ID",ID,Blackfoot,ID,https://www.zillow.com/Blackfoot-ID
753869,253,"Bloomington,IL",IL,Bloomington,IL,https://www.zillow.com/Bloomington-IL
394393,259,"Bloomington,IN",IN,Bloomington,IN,https://www.zillow.com/Bloomington-IN
394399,77,"BoiseCity,ID",ID,BoiseCity,ID,https://www.zillow.com/BoiseCity-ID
394404,11,"Boston,MA",MA,Boston,MA,https://www.zillow.com/Boston-MA
394405,156,"Boulder,CO",CO,Boulder,CO,https://www.zillow.com/Boulder-CO
394406,239,"BowlingGreen,KY",KY,BowlingGreen,KY,https://www.zillow.com/BowlingGreen-KY
394411,551,"Branson,MO",MO,Branson,MO,https://www.zillow.com/Branson-MO
394415,59,"Bridgeport,CT",CT,Bridgeport,CT,https://www.zillow.com/Bridgeport-CT
394421,128,"Brownsville,TX",TX,Brownsville,TX,https://www.zillow.com/Brownsville-TX
394423,346,"Brunswick,GA",GA,Brunswick,GA,https://www.zillow.com/Brunswick-GA
394425,49,"Buffalo,NY",NY,Buffalo,NY,https://www.zillow.com/Buffalo-NY
394428,251,"Burlington,NC",NC,Burlington,NC,https://www.zillow.com/Burlington-NC
394439,137,"Canton,OH",OH,Canton,OH,https://www.zillow.com/Canton-OH
394440,75,"CapeCoral,FL",FL,CapeCoral,FL,https://www.zillow.com/CapeCoral-FL
394444,552,"CarsonCity,NV",NV,CarsonCity,NV,https://www.zillow.com/CarsonCity-NV
394445,442,"Casper,WY",WY,Casper,WY,https://www.zillow.com/Casper-WY
394447,178,"CedarRapids,IA",IA,CedarRapids,IA,https://www.zillow.com/CedarRapids-IA
394453,272,"Chambersburg,PA",PA,Chambersburg,PA,https://www.zillow.com/Chambersburg-PA
394454,204,"Champaign,IL",IL,Champaign,IL,https://www.zillow.com/Champaign-IL
394457,73,"Charleston,SC",SC,Charleston,SC,https://www.zillow.com/Charleston-SC
394458,22,"Charlotte,NC",NC,Charlotte,NC,https://www.zillow.com/Charlotte-NC
394459,209,"Charlottesville,VA",VA,Charlottesville,VA,https://www.zillow.com/Charlottesville-VA
394460,100,"Chattanooga,TN",TN,Chattanooga,TN,https://www.zillow.com/Chattanooga-TN
394462,384,"Cheyenne,WY",WY,Cheyenne,WY,https://www.zillow.com/Cheyenne-WY
394463,3,"Chicago,IL",IL,Chicago,IL,https://www.zillow.com/Chicago-IL
394464,215,"Chico,CA",CA,Chico,CA,https://www.zillow.com/Chico-CA
394465,454,"Chillicothe,OH",OH,Chillicothe,OH,https://www.zillow.com/Chillicothe-OH
394466,30,"Cincinnati,OH",OH,Cincinnati,OH,https://www.zillow.com/Cincinnati-OH
394471,163,"Clarksville,TN",TN,Clarksville,TN,https://www.zillow.com/Clarksville-TN
394472,503,"Clearlake,CA",CA,Clearlake,CA,https://www.zillow.com/Clearlake-CA
394475,34,"Cleveland,OH",OH,Cleveland,OH,https://www.zillow.com/Cleveland-OH
394474,329,"Cleveland,TN",TN,Cleveland,TN,https://www.zillow.com/Cleveland-TN
394483,183,"CollegeStation,TX",TX,CollegeStation,TX,https://www.zillow.com/CollegeStation-TX
